date_utc,amount,direction,indexPrice,instrument,iv,price,quantity,tickDirection,timeStamp,tradeId,tradeSeq
2019-04-05 14:00:58.083,1.0,sell,164.54,ETH-19APR19-140-P,87.3,0.013000000000000001,1.0,1,1554472858083,480137,1
2019-04-07 20:00:34.841,1.0,buy,169.58,ETH-19APR19-140-P,98.02,0.01,1.0,2,1554667234841,556550,2
2019-04-07 23:11:11.681,3.0,buy,173.1,ETH-19APR19-140-P,95.8,0.006999999999999999,3.0,2,1554678671681,577405,3
2019-04-08 22:34:39.465,1.0,sell,182.47,ETH-19APR19-140-P,90.2,0.002,1.0,2,1554762879465,666124,4
2019-04-09 00:46:51.904,1.0,buy,179.79,ETH-19APR19-140-P,104.62,0.005,1.0,0,1554770811904,671517,5
2019-04-10 11:58:43.413,5.0,buy,180.16,ETH-19APR19-140-P,92.2,0.002,5.0,2,1554897523413,731715,6
2019-04-10 21:27:11.249,6.0,buy,175.89,ETH-19APR19-140-P,105.6,0.005,6.0,0,1554931631249,779580,7
2019-04-10 22:09:42.462,2.0,buy,175.54,ETH-19APR19-140-P,105.06,0.005,2.0,1,1554934182462,782223,8
2019-04-11 00:20:06.915,4.0,buy,177.43,ETH-19APR19-140-P,104.03,0.004,4.0,2,1554942006915,786736,9
2019-04-11 11:32:06.314,1.0,buy,160.72,ETH-19APR19-140-P,85.46,0.008,1.0,0,1554982326314,822638,10
2019-04-11 17:24:34.877,1.0,buy,165.04,ETH-19APR19-140-P,76.23,0.003,1.0,2,1555003474877,838554,11
2019-04-11 17:26:23.024,1.0,buy,165.18,ETH-19APR19-140-P,76.54,0.003,1.0,3,1555003583024,838599,12
