date_utc,amount,direction,indexPrice,instrument,iv,price,quantity,tickDirection,timeStamp,tradeId,tradeSeq
2019-05-29 14:55:14.229,8.0,sell,8698.97,BTC-27DEC19-28000-C,100.54,0.038,8.0,1,1559141714229,22520897,1
2019-05-29 16:09:40.867,2.0,sell,8657.41,BTC-27DEC19-28000-C,100.93,0.038,2.0,1,1559146180867,22525946,2
2019-05-29 23:42:48.739,0.5,sell,8630.62,BTC-27DEC19-28000-C,100.05,0.036000000000000004,0.5,2,1559173368739,22546846,3
2019-05-29 23:42:53.988,0.1,sell,8630.81,BTC-27DEC19-28000-C,100.05,0.036000000000000004,0.1,3,1559173373988,22546847,4
2019-05-29 23:42:55.364,0.1,sell,8631.81,BTC-27DEC19-28000-C,100.05,0.036000000000000004,0.1,3,1559173375364,22546848,5
2019-05-29 23:43:26.558,0.1,sell,8636.3,BTC-27DEC19-28000-C,100.03,0.036000000000000004,0.1,3,1559173406558,22546862,6
2019-05-29 23:43:27.461,0.1,sell,8637.37,BTC-27DEC19-28000-C,100.03,0.036000000000000004,0.1,3,1559173407461,22546863,7
2019-05-29 23:43:28.429,0.1,sell,8637.37,BTC-27DEC19-28000-C,100.02,0.036000000000000004,0.1,3,1559173408429,22546864,8
2019-06-02 07:16:08.092,5.5,buy,8589.49,BTC-27DEC19-28000-C,96.65,0.0295,5.5,2,1559459768092,22915629,9
2019-06-06 03:41:59.184,6.0,sell,7848.06,BTC-27DEC19-28000-C,92.81,0.017,6.0,2,1559792519184,23439177,10
2019-06-07 08:22:46.038,6.0,buy,7993.87,BTC-27DEC19-28000-C,91.37,0.016,6.0,2,1559895766038,23579042,11
2019-06-11 21:25:47.625,1.5,buy,7928.58,BTC-27DEC19-28000-C,92.8,0.0155,1.5,2,1560288347625,23961695,12
2019-06-14 13:48:31.502,0.5,buy,8444.86,BTC-27DEC19-28000-C,90.59,0.0165,0.5,0,1560520111502,24140442,13
2019-06-14 16:23:03.032,6.0,sell,8419.41,BTC-27DEC19-28000-C,91.31,0.017,6.0,0,1560529383032,24149968,14
2019-06-16 18:39:00.946,1.5,sell,9083.4,BTC-27DEC19-28000-C,91.84,0.023,1.5,0,1560710340946,24400895,15
2019-06-20 11:31:05.889,0.1,buy,9237.52,BTC-27DEC19-28000-C,96.47,0.0295,0.1,0,1561030265889,24804701,16
