date_utc,ticker,expirationDate,strike,right,close_btc,iv,volume,underlyingPrice,contract
2019-03-27,BTC,27DEC19,7000,C,0.0475,60.11,1,4008.6,BTC-27DEC19-7000-C
2019-03-28,BTC,27DEC19,7000,C,0.047,60.04,2,4010.47,BTC-27DEC19-7000-C
2019-03-29,BTC,27DEC19,7000,C,0.049,60.71,1,4020.19,BTC-27DEC19-7000-C
2019-03-31,BTC,27DEC19,7000,C,0.0505,60.29,1,4092.82,BTC-27DEC19-7000-C
2019-04-01,BTC,27DEC19,7000,C,0.0465,58.24,5,4139.4,BTC-27DEC19-7000-C
2019-04-02,BTC,27DEC19,7000,C,0.087,61.55,4,4800.59,BTC-27DEC19-7000-C
2019-04-03,BTC,27DEC19,7000,C,0.111,66.53,6,4965.66,BTC-27DEC19-7000-C
2019-04-04,BTC,27DEC19,7000,C,0.104,66.39,2,4833.82,BTC-27DEC19-7000-C
2019-04-05,BTC,27DEC19,7000,C,0.1205,68.69,2,5019.56,BTC-27DEC19-7000-C
2019-04-06,BTC,27DEC19,7000,C,0.156,79.41,1,5022.82,BTC-27DEC19-7000-C
2019-04-08,BTC,27DEC19,7000,C,0.121,64.51,1,5254.72,BTC-27DEC19-7000-C
